Timestamp,Name something parents miss about their pre-baby lives,Name something new parents constantly buy,Name an event parents do not want to miss in their child's life,Name something people do to entertain a baby,Name a good toy for a new baby,Name something that's cute when a baby does it but not when an adult does it,Name a reason the baby might be crying,Name something new parents will try to do when the baby's asleep,Name a place where people hope not to have a baby sitting near them,Name a situation you don't want to be in when your water breaks,"The parents just said ""oh no!"" ...what did the baby do?","If you could go back to being a baby for a day, name something you'd enjoy the most",Name something your partner does that's just like a baby,Name something you would not want a babysitter doing on the job,"Name something a baby shouldn't touch, but might try to"
4/5/2023 16:26:57,Sleep ,Diapers ,First steps ,Dance ,Empty water bottle ,Burp,Hungry ,Watch tv ,Airplane ,Shopping ,Diaper blowout ,Sleeping! ,Farts ,Sleeping ,Everything 
4/5/2023 16:28:28,Sleep,Diapers,First steps ,Peel a boo,Rattle,Poops,Hungry,Sleep,Airplane,Sex,Fall,Sleep,Cries ,Drinking,Everything 
4/5/2023 16:38:25,Free time ,Diapers,First steps,Peekaboo ,Rattle ,Farting,Tired,Have sex,Restaurant,Driving,Spit up,Sleeping as much as I want, Snacking all day,Drinking,Power cords
4/5/2023 16:40:47,Sleep!,Diapers,First steps,Peek-a-boo,Rattle,Pass gas,Hungry,Clean,Restaurants,In an elevator ,Blew out the diaper ,The baby swing ,No clue ,Drinking ,Power outlet 
4/5/2023 16:45:26,Sleeping in,Diapers and wipes,Their first steps,Make silly noises,Rattle or baby paper,Drools when giving a big smile,Baby is hungry ,Watch TV,Airplane,On the bus,Massive spit up,Snuggles,Eats frequently,Having people over,Daddy's laptop
4/5/2023 16:48:09,Sleep,Diapers,First steps,Sing,Rattle,Poops,Hungry,Vacuum,Restaurant ,In Bed,Explode,Naps,Sleeps,Sleeping,Electrical Outlet
4/5/2023 16:48:12,Sleeping In,Diapers,First word,Sing,Teething ring,Pooping their pants,Hungry,Clean,Airplane,Driving,Spit up,Sleeping all day,Drinks milk,TikTok ,Hot stove
4/5/2023 16:53:19,Sleep,Diapers,First words,Make silly faces,Rattle,Fart,Hungry,Clean,Airplane,Shopping,Blowout diaper,Naps,Whine,Smoking,Shoes
4/5/2023 16:57:07,Vacations,Wipes,First smile,Make silly faces,Teether ,Fart,Hungry,Play games,Fancy restaurant ,Driving,Spit up ,Having no worries ,Sleep,Smoking weed,Stove knobs
4/5/2023 16:59:33,Freedom,Diapers,First steps,Peek-a-boo,Crinkle books,Coos,Hungry,Clean,Airplane,Driving,Diaper blowout ,Having no responsibility ,Whines,Talking on the phone ,Hot stove
